year_month;community;zone;is_freehold;secondary_price_per_sqft_usd;secondary_price_per_m2_usd;offplan_price_per_sqft_usd;rental_price_per_sqft_annual_usd;n_listings_secondary;n_listings_offplan;n_listings_rental;cbuae_base_rate_pct;avg_mortgage_rate_pct
2026-02;Palm Jumeirah;Palm Jumeirah;TRUE;1171;12603;54,71;76;42;56;49;04.00;05.05
2026-03;Palm Jumeirah;Palm Jumeirah;TRUE;1185;12753;54,00;77;159;36;93;04.00;05.05
2026-04;Palm Jumeirah;Palm Jumeirah;TRUE;1202;12939;56,13;78;147;78;26;04.00;05.05
2020-01;Jumeirah Bay Island;Jumeirah;TRUE;989;10648;43,42;64;100;17;66;01.05;03.00
2020-02;Jumeirah Bay Island;Jumeirah;TRUE;951;10237;42,46;62;106;73;39;01.05;03.00
2020-03;Jumeirah Bay Island;Jumeirah;TRUE;1009;10862;47,04;66;91;69;43;01.05;03.00
2020-04;Jumeirah Bay Island;Jumeirah;TRUE;996;10720;46,00;65;130;14;28;00.04;01.09
2020-05;Jumeirah Bay Island;Jumeirah;TRUE;923;9938;41,50;60;86;76;44;00.04;01.09
2020-06;Jumeirah Bay Island;Jumeirah;TRUE;922;9926;41,17;60;115;60;34;00.04;01.09
2020-07;Jumeirah Bay Island;Jumeirah;TRUE;940;10117;44,67;61;71;30;11;00.04;01.09
2020-08;Jumeirah Bay Island;Jumeirah;TRUE;942;10139;43,79;61;63;5;24;00.04;01.09
2020-09;Jumeirah Bay Island;Jumeirah;TRUE;909;9781;40,33;59;149;77;97;00.04;01.09
2020-10;Jumeirah Bay Island;Jumeirah;TRUE;894;9620;41,71;58;157;55;91;00.04;01.09
2020-11;Jumeirah Bay Island;Jumeirah;TRUE;954;10274;41,79;62;121;15;99;00.04;01.09
2020-12;Jumeirah Bay Island;Jumeirah;TRUE;957;10299;42,75;62;95;17;94;00.04;01.09
2021-01;Jumeirah Bay Island;Jumeirah;TRUE;953;10263;43,21;62;119;22;100;00.04;01.09
2021-02;Jumeirah Bay Island;Jumeirah;TRUE;1041;11206;45,83;68;32;61;104;00.04;01.09
2021-03;Jumeirah Bay Island;Jumeirah;TRUE;973;10476;45,21;63;113;43;64;00.04;01.09
2021-04;Jumeirah Bay Island;Jumeirah;TRUE;1011;10882;48,08;66;45;64;110;00.04;01.09
2021-05;Jumeirah Bay Island;Jumeirah;TRUE;1029;11071;47,13;67;123;24;44;00.04;01.09
2021-06;Jumeirah Bay Island;Jumeirah;TRUE;1023;11016;46,96;67;64;38;46;00.04;01.09
2021-07;Jumeirah Bay Island;Jumeirah;TRUE;1063;11438;50,17;69;35;52;64;00.04;01.09
2021-08;Jumeirah Bay Island;Jumeirah;TRUE;1115;12001;53,04;72;62;69;85;00.04;01.09
2021-09;Jumeirah Bay Island;Jumeirah;TRUE;1101;11854;49,04;72;84;22;110;00.04;01.09
2021-10;Jumeirah Bay Island;Jumeirah;TRUE;1103;11877;51,79;72;15;13;105;00.04;01.09
2021-11;Jumeirah Bay Island;Jumeirah;TRUE;1069;11508;49,71;69;26;44;38;00.04;01.09
2021-12;Jumeirah Bay Island;Jumeirah;TRUE;1141;12278;53,33;74;80;10;74;00.04;01.09
2022-01;Jumeirah Bay Island;Jumeirah;TRUE;1179;12688;52,54;77;167;58;90;00.04;01.09
2022-02;Jumeirah Bay Island;Jumeirah;TRUE;1262;13586;56,75;82;77;51;24;00.04;01.09
2022-03;Jumeirah Bay Island;Jumeirah;TRUE;1306;14062;61,63;85;158;59;20;00.04;01.09
2022-04;Jumeirah Bay Island;Jumeirah;TRUE;1319;14198;60,25;86;121;32;71;01.04;02.09
2022-05;Jumeirah Bay Island;Jumeirah;TRUE;1303;14021;57,75;85;38;51;113;01.04;02.09
2022-06;Jumeirah Bay Island;Jumeirah;TRUE;1361;14655;62,29;88;134;74;87;01.04;02.09
2022-07;Jumeirah Bay Island;Jumeirah;TRUE;1317;14180;60,46;86;171;13;98;01.04;02.09
2022-08;Jumeirah Bay Island;Jumeirah;TRUE;1466;15783;68,42;95;95;72;90;01.04;02.09
2022-09;Jumeirah Bay Island;Jumeirah;TRUE;1461;15722;64,75;95;41;79;25;01.04;02.09
2022-10;Jumeirah Bay Island;Jumeirah;TRUE;1462;15734;65,21;95;28;59;25;04.04;05.09
2022-11;Jumeirah Bay Island;Jumeirah;TRUE;1484;15973;66,17;96;176;13;106;04.04;05.09
2022-12;Jumeirah Bay Island;Jumeirah;TRUE;1469;15816;68,63;96;88;26;78;04.04;05.09
2023-01;Jumeirah Bay Island;Jumeirah;TRUE;1499;16139;70,13;97;177;35;108;04.04;05.09
2023-02;Jumeirah Bay Island;Jumeirah;TRUE;1553;16717;71,71;101;26;10;66;04.04;05.09
2023-03;Jumeirah Bay Island;Jumeirah;TRUE;1577;16972;71,00;102;21;9;48;04.04;05.09
2023-04;Jumeirah Bay Island;Jumeirah;TRUE;1640;17657;76,96;107;170;62;99;04.04;05.09
2023-05;Jumeirah Bay Island;Jumeirah;TRUE;1540;16573;70,58;100;130;49;40;04.04;05.09
2023-06;Jumeirah Bay Island;Jumeirah;TRUE;1619;17432;76,29;105;96;27;79;04.04;05.09
2023-07;Jumeirah Bay Island;Jumeirah;TRUE;1696;18251;75,54;110;146;79;99;05.04;06.09
2023-08;Jumeirah Bay Island;Jumeirah;TRUE;1699;18285;80,54;110;46;20;106;05.04;06.09
2023-09;Jumeirah Bay Island;Jumeirah;TRUE;1721;18522;78,46;112;145;18;90;05.04;06.09
2023-10;Jumeirah Bay Island;Jumeirah;TRUE;1777;19129;80,88;116;32;25;30;05.04;06.09
2023-11;Jumeirah Bay Island;Jumeirah;TRUE;1721;18521;78,79;112;104;53;50;05.04;06.09
2023-12;Jumeirah Bay Island;Jumeirah;TRUE;1686;18147;79,96;110;26;22;58;05.04;06.09
2024-01;Jumeirah Bay Island;Jumeirah;TRUE;1749;18822;81,83;114;51;9;21;05.04;06.09
2024-02;Jumeirah Bay Island;Jumeirah;TRUE;1752;18863;84,38;114;102;29;103;05.04;06.09
2024-03;Jumeirah Bay Island;Jumeirah;TRUE;1706;18361;77,83;111;105;52;116;05.04;06.09
2024-04;Jumeirah Bay Island;Jumeirah;TRUE;1694;18238;77,33;110;125;17;39;05.04;06.09
2024-05;Jumeirah Bay Island;Jumeirah;TRUE;1698;18276;77,58;110;173;48;105;05.04;06.09
2024-06;Jumeirah Bay Island;Jumeirah;TRUE;1741;18737;78,00;113;25;8;113;05.04;06.09
2024-07;Jumeirah Bay Island;Jumeirah;TRUE;1649;17754;72,83;107;124;34;56;0,211805556;06.15
2024-08;Jumeirah Bay Island;Jumeirah;TRUE;1667;17941;76,00;108;73;70;61;0,211805556;06.15
2024-09;Jumeirah Bay Island;Jumeirah;TRUE;1655;17814;75,38;108;33;72;117;0,211805556;06.15
2024-10;Jumeirah Bay Island;Jumeirah;TRUE;1680;18086;74,33;109;104;17;106;0,211805556;06.15
2024-11;Jumeirah Bay Island;Jumeirah;TRUE;1682;18108;78,46;109;85;60;80;0,211805556;06.15
2024-12;Jumeirah Bay Island;Jumeirah;TRUE;1701;18307;79,08;111;148;8;11;0,211805556;06.15
2025-01;Jumeirah Bay Island;Jumeirah;TRUE;1700;18300;79,71;111;125;67;40;0,211805556;06.15
2025-02;Jumeirah Bay Island;Jumeirah;TRUE;1670;17975;76,17;109;126;23;106;0,211805556;06.15
2025-03;Jumeirah Bay Island;Jumeirah;TRUE;1721;18527;78,92;112;144;66;68;0,211805556;06.15
2025-04;Jumeirah Bay Island;Jumeirah;TRUE;1640;17657;72,13;107;132;15;87;0,211805556;06.15
2025-05;Jumeirah Bay Island;Jumeirah;TRUE;1769;19037;79,25;115;61;49;28;0,211805556;06.15
2025-06;Jumeirah Bay Island;Jumeirah;TRUE;1691;18197;77,17;110;140;49;63;0,211805556;06.15
2025-07;Jumeirah Bay Island;Jumeirah;TRUE;1658;17847;76,67;108;125;13;110;04.00;05.05
2025-08;Jumeirah Bay Island;Jumeirah;TRUE;1651;17769;77,17;107;85;25;108;04.00;05.05
2025-09;Jumeirah Bay Island;Jumeirah;TRUE;1603;17250;73,46;104;161;16;35;04.00;05.05
2025-10;Jumeirah Bay Island;Jumeirah;TRUE;1704;18345;79,42;111;28;18;80;04.00;05.05
2025-11;Jumeirah Bay Island;Jumeirah;TRUE;1627;17514;73,88;106;79;48;114;04.00;05.05
2025-12;Jumeirah Bay Island;Jumeirah;TRUE;1721;18523;80,21;112;166;17;76;04.00;05.05
2026-01;Jumeirah Bay Island;Jumeirah;TRUE;1698;18274;76,38;110;143;15;47;04.00;05.05
2026-02;Jumeirah Bay Island;Jumeirah;TRUE;1641;17666;75,21;107;149;44;25;04.00;05.05
2026-03;Jumeirah Bay Island;Jumeirah;TRUE;1685;18139;75,96;110;157;29;62;04.00;05.05
2026-04;Jumeirah Bay Island;Jumeirah;TRUE;1683;18117;74,83;109;157;57;72;04.00;05.05
2020-01;Bluewaters Island;Dubai Marina;TRUE;582;6260;27,33;38;162;32;93;01.05;03.00
2020-02;Bluewaters Island;Dubai Marina;TRUE;582;6268;26,50;38;172;46;99;01.05;03.00
2020-03;Bluewaters Island;Dubai Marina;TRUE;595;6401;26,92;39;125;65;59;01.05;03.00
2020-04;Bluewaters Island;Dubai Marina;TRUE;595;6405;26,33;39;44;41;43;00.04;01.09
2020-05;Bluewaters Island;Dubai Marina;TRUE;571;6142;25,25;37;164;46;13;00.04;01.09
2020-06;Bluewaters Island;Dubai Marina;TRUE;569;6130;24,67;37;126;17;97;00.04;01.09
2020-07;Bluewaters Island;Dubai Marina;TRUE;531;5713;23,83;34;135;26;106;00.04;01.09
2020-08;Bluewaters Island;Dubai Marina;TRUE;543;5844;24,71;35;142;13;105;00.04;01.09
2020-09;Bluewaters Island;Dubai Marina;TRUE;561;6034;26,17;36;156;75;49;00.04;01.09
2020-10;Bluewaters Island;Dubai Marina;TRUE;540;5816;24,67;35;173;36;65;00.04;01.09
2020-11;Bluewaters Island;Dubai Marina;TRUE;522;5623;24,00;34;133;52;85;00.04;01.09
2020-12;Bluewaters Island;Dubai Marina;TRUE;566;6097;25,88;37;43;25;87;00.04;01.09
2021-01;Bluewaters Island;Dubai Marina;TRUE;581;6257;26,83;38;150;6;31;00.04;01.09
2021-02;Bluewaters Island;Dubai Marina;TRUE;588;6326;28,08;38;102;21;51;00.04;01.09
2021-03;Bluewaters Island;Dubai Marina;TRUE;566;6091;25,75;37;51;12;67;00.04;01.09
2021-04;Bluewaters Island;Dubai Marina;TRUE;590;6354;27,33;38;92;67;85;00.04;01.09
2021-05;Bluewaters Island;Dubai Marina;TRUE;627;6745;29,38;41;24;63;40;00.04;01.09
2021-06;Bluewaters Island;Dubai Marina;TRUE;608;6549;28,58;40;73;66;97;00.04;01.09
2021-07;Bluewaters Island;Dubai Marina;TRUE;630;6776;27,25;41;105;36;88;00.04;01.09
2021-08;Bluewaters Island;Dubai Marina;TRUE;655;7050;31,25;43;33;62;109;00.04;01.09
2021-09;Bluewaters Island;Dubai Marina;TRUE;677;7292;30,46;44;71;69;97;00.04;01.09
2021-10;Bluewaters Island;Dubai Marina;TRUE;683;7353;31,13;44;16;29;118;00.04;01.09
2021-11;Bluewaters Island;Dubai Marina;TRUE;688;7407;30,79;45;110;69;100;00.04;01.09
2021-12;Bluewaters Island;Dubai Marina;TRUE;704;7575;31,67;46;175;16;74;00.04;01.09
2022-01;Bluewaters Island;Dubai Marina;TRUE;733;7892;31,63;48;37;20;10;00.04;01.09
2022-02;Bluewaters Island;Dubai Marina;TRUE;719;7736;33,63;47;157;67;54;00.04;01.09
2022-03;Bluewaters Island;Dubai Marina;TRUE;737;7934;34,79;48;142;59;78;00.04;01.09
2022-04;Bluewaters Island;Dubai Marina;TRUE;762;8203;35,42;50;68;69;45;01.04;02.09
2022-05;Bluewaters Island;Dubai Marina;TRUE;763;8208;34,92;50;68;54;31;01.04;02.09
2022-06;Bluewaters Island;Dubai Marina;TRUE;794;8552;35,63;52;43;44;115;01.04;02.09
2022-07;Bluewaters Island;Dubai Marina;TRUE;812;8745;37,42;53;126;13;15;01.04;02.09
2022-08;Bluewaters Island;Dubai Marina;TRUE;815;8767;38,96;53;109;7;42;01.04;02.09
2022-09;Bluewaters Island;Dubai Marina;TRUE;818;8807;36,75;53;156;75;20;01.04;02.09
2022-10;Bluewaters Island;Dubai Marina;TRUE;842;9063;38,13;55;110;16;14;04.04;05.09
2022-11;Bluewaters Island;Dubai Marina;TRUE;823;8858;34,67;53;42;45;106;04.04;05.09
2022-12;Bluewaters Island;Dubai Marina;TRUE;925;9959;42,00;60;87;71;45;04.04;05.09
2023-01;Bluewaters Island;Dubai Marina;TRUE;905;9736;43,00;59;44;6;13;04.04;05.09
2023-02;Bluewaters Island;Dubai Marina;TRUE;930;10015;43,29;60;175;71;119;04.04;05.09
2023-03;Bluewaters Island;Dubai Marina;TRUE;913;9825;43,79;59;170;43;61;04.04;05.09
2023-04;Bluewaters Island;Dubai Marina;TRUE;924;9944;43,25;60;131;43;109;04.04;05.09
2023-05;Bluewaters Island;Dubai Marina;TRUE;944;10160;43,42;61;59;39;11;04.04;05.09
2023-06;Bluewaters Island;Dubai Marina;TRUE;952;10247;44,38;62;42;41;78;04.04;05.09
2023-07;Bluewaters Island;Dubai Marina;TRUE;1024;11024;48,63;67;143;62;100;05.04;06.09
2023-08;Bluewaters Island;Dubai Marina;TRUE;1034;11133;46,46;67;157;8;70;05.04;06.09
2023-09;Bluewaters Island;Dubai Marina;TRUE;1030;11082;47,29;67;158;76;27;05.04;06.09
2023-10;Bluewaters Island;Dubai Marina;TRUE;1023;11013;46,88;67;148;23;111;05.04;06.09
2023-11;Bluewaters Island;Dubai Marina;TRUE;1039;11187;48,29;68;106;76;94;05.04;06.09
2023-12;Bluewaters Island;Dubai Marina;TRUE;998;10748;46,88;65;82;19;87;05.04;06.09
2024-01;Bluewaters Island;Dubai Marina;TRUE;1019;10971;46,33;66;144;64;60;05.04;06.09
2024-02;Bluewaters Island;Dubai Marina;TRUE;1043;11223;48,13;68;68;20;85;05.04;06.09
2024-03;Bluewaters Island;Dubai Marina;TRUE;997;10727;46,00;65;141;17;15;05.04;06.09
2024-04;Bluewaters Island;Dubai Marina;TRUE;1015;10930;47,25;66;53;74;91;05.04;06.09
2024-05;Bluewaters Island;Dubai Marina;TRUE;980;10549;44,00;64;131;73;92;05.04;06.09
2024-06;Bluewaters Island;Dubai Marina;TRUE;1004;10808;46,21;65;34;30;35;05.04;06.09
2024-07;Bluewaters Island;Dubai Marina;TRUE;1020;10982;47,79;66;76;62;103;0,211805556;06.15
2024-08;Bluewaters Island;Dubai Marina;TRUE;1001;10774;46,42;65;96;73;28;0,211805556;06.15
2024-09;Bluewaters Island;Dubai Marina;TRUE;987;10625;45,17;64;70;23;30;0,211805556;06.15
2024-10;Bluewaters Island;Dubai Marina;TRUE;1034;11125;47,58;67;113;30;52;0,211805556;06.15
2024-11;Bluewaters Island;Dubai Marina;TRUE;1015;10926;46,08;66;138;71;36;0,211805556;06.15
2024-12;Bluewaters Island;Dubai Marina;TRUE;946;10188;41,38;62;17;78;116;0,211805556;06.15
2025-01;Bluewaters Island;Dubai Marina;TRUE;962;10351;43,83;63;106;30;78;0,211805556;06.15
2025-02;Bluewaters Island;Dubai Marina;TRUE;979;10539;43,42;64;42;58;27;0,211805556;06.15
2025-03;Bluewaters Island;Dubai Marina;TRUE;992;10678;45,96;64;41;56;28;0,211805556;06.15
2025-04;Bluewaters Island;Dubai Marina;TRUE;1029;11078;47,21;67;168;38;26;0,211805556;06.15
2025-05;Bluewaters Island;Dubai Marina;TRUE;993;10684;44,67;65;29;18;71;0,211805556;06.15
2025-06;Bluewaters Island;Dubai Marina;TRUE;1007;10838;44,04;65;142;50;14;0,211805556;06.15
2025-07;Bluewaters Island;Dubai Marina;TRUE;963;10365;42,83;63;156;31;43;04.00;05.05
2025-08;Bluewaters Island;Dubai Marina;TRUE;1011;10884;45,46;66;36;78;12;04.00;05.05
2025-09;Bluewaters Island;Dubai Marina;TRUE;989;10651;45,21;64;125;36;27;04.00;05.05
2025-10;Bluewaters Island;Dubai Marina;TRUE;974;10488;44,17;63;73;14;115;04.00;05.05
2025-11;Bluewaters Island;Dubai Marina;TRUE;993;10688;44,79;65;165;30;44;04.00;05.05
2025-12;Bluewaters Island;Dubai Marina;TRUE;928;9986;41,67;60;132;49;56;04.00;05.05
2026-01;Bluewaters Island;Dubai Marina;TRUE;1002;10787;46,00;65;146;34;69;04.00;05.05
2026-02;Bluewaters Island;Dubai Marina;TRUE;989;10641;48,71;64;50;75;65;04.00;05.05
2026-03;Bluewaters Island;Dubai Marina;TRUE;966;10399;43,54;63;73;58;43;04.00;05.05
2026-04;Bluewaters Island;Dubai Marina;TRUE;1037;11161;47,67;67;70;27;49;04.00;05.05
2020-01;Emirates Hills;Emirates Hills;TRUE;751;8080;33,46;49;113;66;27;01.05;03.00
2020-02;Emirates Hills;Emirates Hills;TRUE;708;7620;32,42;46;37;48;43;01.05;03.00
2020-03;Emirates Hills;Emirates Hills;TRUE;755;8131;34,46;49;72;38;102;01.05;03.00
2020-04;Emirates Hills;Emirates Hills;TRUE;710;7642;31,83;46;104;16;92;00.04;01.09
2020-05;Emirates Hills;Emirates Hills;TRUE;740;7964;33,00;48;112;18;88;00.04;01.09
2020-06;Emirates Hills;Emirates Hills;TRUE;715;7692;34,29;46;122;79;104;00.04;01.09
2020-07;Emirates Hills;Emirates Hills;TRUE;712;7659;32,96;46;85;79;106;00.04;01.09
2020-08;Emirates Hills;Emirates Hills;TRUE;691;7437;31,04;45;75;44;46;00.04;01.09
2020-09;Emirates Hills;Emirates Hills;TRUE;690;7429;32,08;45;62;21;46;00.04;01.09
2020-10;Emirates Hills;Emirates Hills;TRUE;691;7442;30,88;45;167;63;12;00.04;01.09
2020-11;Emirates Hills;Emirates Hills;TRUE;720;7755;34,25;47;116;68;42;00.04;01.09
2020-12;Emirates Hills;Emirates Hills;TRUE;714;7688;34,00;46;122;79;94;00.04;01.09
2021-01;Emirates Hills;Emirates Hills;TRUE;716;7703;33,13;47;151;53;21;00.04;01.09
2021-02;Emirates Hills;Emirates Hills;TRUE;734;7898;34,13;48;63;67;31;00.04;01.09
2021-03;Emirates Hills;Emirates Hills;TRUE;741;7977;34,46;48;93;57;55;00.04;01.09
2021-04;Emirates Hills;Emirates Hills;TRUE;768;8268;35,08;50;55;47;48;00.04;01.09
2021-05;Emirates Hills;Emirates Hills;TRUE;799;8596;36,50;52;126;68;53;00.04;01.09
2021-06;Emirates Hills;Emirates Hills;TRUE;811;8727;36,88;53;46;58;29;00.04;01.09
2021-07;Emirates Hills;Emirates Hills;TRUE;808;8692;37,83;52;78;43;103;00.04;01.09
2021-08;Emirates Hills;Emirates Hills;TRUE;816;8788;38,50;53;114;45;11;00.04;01.09
2021-09;Emirates Hills;Emirates Hills;TRUE;830;8933;38,88;54;128;18;105;00.04;01.09
2021-10;Emirates Hills;Emirates Hills;TRUE;814;8762;39,33;53;64;63;100;00.04;01.09
2021-11;Emirates Hills;Emirates Hills;TRUE;879;9459;41,21;57;84;33;73;00.04;01.09
2021-12;Emirates Hills;Emirates Hills;TRUE;887;9544;40,42;58;166;51;40;00.04;01.09
2022-01;Emirates Hills;Emirates Hills;TRUE;887;9546;39,54;58;176;34;88;00.04;01.09
